name,ingredients,Unnamed: 2,instructions,Unnamed: 4,region,diet,ingredient_text
Balu shahi,"['maida flour', 'yogurt', 'oil', 'sugar']",,45,,East,Veg,maida flour yogurt oil sugar
Boondi,"['gram flour', 'ghee', 'sugar']",,80,,West,Veg,gram flour ghee sugar
Gajar ka halwa,"['carrots', 'milk', 'sugar', 'ghee', 'cashews', 'raisins']",,15,,North,Veg,carrots milk sugar ghee cashews raisins
Ghevar,"['flour', 'ghee', 'kewra', 'milk', 'clarified butter', 'sugar', 'almonds', 'pistachio', 'saffron', 'green cardamom']",,15,,West,Veg,flour ghee kewra milk clarified butter sugar almonds pistachio saffron green cardamom
Gulab jamun,"['milk powder', 'plain flour', 'baking powder', 'ghee', 'milk', 'sugar', 'water', 'rose water']",,15,,East,Veg,milk powder plain flour baking powder ghee milk sugar water rose water
Imarti,"['sugar syrup', 'lentil flour']",,10,,East,Veg,sugar syrup lentil flour
Jalebi,"['maida', 'corn flour', 'baking soda', 'vinegar', 'curd', 'water', 'turmeric', 'saffron', 'cardamom']",,10,,North,Veg,maida corn flour baking soda vinegar curd water turmeric saffron cardamom
Kaju katli,"['cashews', 'ghee', 'cardamom', 'sugar']",,10,,-1,Veg,cashews ghee cardamom sugar
Kalakand,"['milk', 'cottage cheese', 'sugar']",,20,,East,Veg,milk cottage cheese sugar
Kheer,"['milk', 'rice', 'sugar', 'dried fruits']",,10,,-1,Veg,milk rice sugar dried fruits
Laddu,"['gram flour', 'ghee', 'sugar']",,10,,-1,Veg,gram flour ghee sugar
Lassi,"['yogurt', 'milk', 'nuts', 'sugar']",,5,,North,Veg,yogurt milk nuts sugar
Nankhatai,"['refined flour', 'besan', 'ghee', 'powdered sugar', 'yoghurt', 'green cardamom']",,20,,-1,Veg,refined flour besan ghee powdered sugar yoghurt green cardamom
Petha,"['firm white pumpkin', 'sugar', 'kitchen lime', 'alum powder']",,10,,North,Veg,firm white pumpkin sugar kitchen lime alum powder
Phirni,"['rice', 'sugar', 'nuts']",,30,,East,Veg,rice sugar nuts
Rabri,"['condensed milk', 'sugar', 'spices', 'nuts']",,10,,North,Veg,condensed milk sugar spices nuts
Sheera,"['semolina', 'ghee', 'nuts', 'milk']",,10,,West,Veg,semolina ghee nuts milk
Singori,"['khoa', 'coconut', 'molu leaf']",,10,,North,Veg,khoa coconut molu leaf
Sohan halwa,"['corn flour', 'ghee', 'dry fruits']",,10,,North,Veg,corn flour ghee dry fruits
