name,ingredients,,instructions,,region,diet
Balu shahi,"Maida flour, yogurt, oil, sugar",,45,,East,vegetarian
Boondi,"Gram flour, ghee, sugar",,80,,West,vegetarian
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",,15,,North,vegetarian
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",,15,,West,vegetarian
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",,15,,East,vegetarian
Imarti,"Sugar syrup, lentil flour",,10,,East,vegetarian
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",,10,,North,vegetarian
Kaju katli,"Cashews, ghee, cardamom, sugar",,10,,-1,vegetarian
Kalakand,"Milk, cottage cheese, sugar",,20,,East,vegetarian
Kheer,"Milk, rice, sugar, dried fruits",,10,,-1,vegetarian
Laddu,"Gram flour, ghee, sugar",,10,,-1,vegetarian
Lassi,"Yogurt, milk, nuts, sugar",,5,,North,vegetarian
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",,20,,-1,vegetarian
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",,10,,North,vegetarian
Phirni,"Rice, sugar, nuts",,30,,East,vegetarian
Rabri,"Condensed milk, sugar, spices, nuts",,10,,North,vegetarian
Sheera,"Semolina, ghee, nuts, milk",,10,,West,vegetarian
Singori,"Khoa, coconut, molu leaf",,10,,North,vegetarian
Sohan halwa,"Corn flour, ghee, dry fruits",,10,,North,vegetarian
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",,-1,,West,vegetarian
Chhena jalebi,"Chhena, sugar, ghee",,10,,East,vegetarian
Chhena kheeri,"Chhena, sugar, milk",,-1,,East,vegetarian
Chhena poda,"Sugar, chenna cheese",,10,,East,vegetarian
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",,40,,East,vegetarian
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",,25,,East,vegetarian
Ledikeni,"Chhena, sugar, ghee",,45,,East,vegetarian
Lyangcha,"Flour, fried milk power, sugar syrup",,20,,North East,vegetarian
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",,10,,North,vegetarian
Mihidana,"Besan flour, sugar, ghee",,15,,East,vegetarian
Misti doi,"Milk, jaggery",,480,,East,vegetarian
Pantua,"Chhena, sugar, ghee, flour",,45,,East,vegetarian
Pithe,"Rice flour, wheat flour",,15,,North East,vegetarian
Rasabali,"Chenna, sweetened milk",,15,,East,vegetarian
Ras malai,"Chhena, reduced milk, pistachio",,180,,East,vegetarian
Rasgulla,"Chhena, sugar, cardamom",,10,,East,vegetarian
Sandesh,"Milk, sugar, saffron, cardamom",,30,,East,vegetarian
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",,10,,East,vegetarian
Ariselu,"Rice flour, jaggery, ghee",,15,,South,vegetarian
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",,5,,South,vegetarian
Chikki,"Peanuts, jaggery",,10,,West,vegetarian
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",,20,,South,vegetarian
